satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
tres bien,tres bien,medium,162,2,no,no,no,sales,medium
assez bien,tres bien,high,192,3,no,no,no,sales,high
excellent,bien,medium,236,3,no,no,no,sales,low
excellent,tres bien,medium,225,2,no,no,no,sales,medium
tres bien,bien,medium,167,2,no,no,no,sales,medium
assez bien,tres bien,high,219,4,yes,no,no,sales,medium
excellent,tres bien,low,255,3,no,no,no,accounting,medium
excellent,tres bien,medium,137,2,no,no,no,accounting,low
tres bien,excellent,medium,193,3,no,no,no,accounting,low
tres bien,tres bien,low,239,2,no,no,no,hr,low
bien,tres bien,medium,179,5,no,no,no,hr,low
tres bien,tres bien,low,205,2,yes,no,no,hr,low
tres bien,tres bien,low,140,5,yes,no,no,hr,low
excellent,tres bien,medium,256,2,no,no,no,technical,low
bien,tres bien,medium,243,3,no,no,no,technical,low
excellent,tres bien,medium,163,3,no,no,no,technical,low
tres bien,excellent,low,167,2,no,no,no,technical,low
excellent,bien,medium,190,5,no,no,no,technical,high
tres bien,bien,medium,145,3,yes,no,no,technical,low
excellent,tres bien,medium,265,4,no,no,no,technical,low
tres bien,tres bien,medium,272,2,no,no,no,technical,low
bien,bien,medium,140,5,no,no,no,technical,low
tres bien,bien,medium,236,2,no,no,no,technical,high
bien,excellent,medium,255,3,yes,no,no,technical,low
tres bien,bien,medium,131,6,no,no,no,support,low
tres bien,excellent,medium,209,6,no,no,no,support,low
bien,tres bien,low,250,2,no,no,no,support,high
bien,bien,low,201,2,yes,no,no,support,low
bien,tres bien,medium,271,2,no,no,no,support,medium
assez bien,tres bien,high,237,5,no,no,no,support,high
excellent,excellent,low,239,4,no,no,no,support,medium
assez bien,bien,low,135,3,yes,no,no,support,high
tres bien,bien,low,182,2,no,no,no,support,medium
assez bien,bien,high,193,4,no,no,no,support,medium
tres bien,tres bien,medium,192,3,yes,no,no,support,medium
passable,tres bien,medium,144,6,no,no,no,technical,medium
bien,bien,low,251,3,no,no,no,technical,medium
tres bien,excellent,low,161,2,no,no,no,technical,medium
tres bien,tres bien,low,171,3,no,no,no,management,medium
tres bien,excellent,medium,153,5,no,no,no,IT,medium
excellent,excellent,medium,161,2,no,no,no,IT,high
excellent,bien,low,226,4,no,no,no,IT,low
tres bien,excellent,low,193,3,no,no,no,IT,medium
excellent,tres bien,medium,204,3,no,no,no,IT,medium
bien,bien,low,158,2,no,no,no,product_mng,medium
tres bien,tres bien,low,236,4,no,no,no,product_mng,medium
bien,tres bien,medium,191,3,no,no,no,product_mng,medium
bien,bien,high,104,4,no,no,no,product_mng,medium
bien,bien,low,245,2,no,no,no,IT,medium
tres bien,tres bien,low,186,3,yes,no,no,RandD,medium
excellent,tres bien,medium,168,4,yes,no,no,RandD,medium
bien,bien,medium,262,3,yes,no,no,RandD,high
assez bien,tres bien,low,116,3,no,no,no,RandD,low
tres bien,excellent,medium,187,2,no,no,no,RandD,low
tres bien,excellent,medium,184,3,no,no,no,marketing,low
excellent,bien,medium,155,3,no,no,no,marketing,high
excellent,excellent,medium,190,2,no,no,no,sales,low
excellent,tres bien,low,242,3,no,no,no,accounting,low
excellent,tres bien,medium,204,2,no,no,no,support,low
tres bien,tres bien,medium,232,3,no,no,no,technical,high
tres bien,bien,medium,245,2,no,no,no,management,low
tres bien,tres bien,low,251,2,no,no,no,marketing,low
tres bien,tres bien,medium,179,2,no,no,no,marketing,low
tres bien,excellent,medium,153,2,no,no,no,marketing,low
excellent,excellent,medium,210,6,no,no,no,sales,low
tres bien,excellent,low,257,2,yes,no,no,sales,low
bien,assez bien,low,137,4,no,no,no,sales,low
tres bien,excellent,medium,179,2,no,no,no,sales,medium
excellent,tres bien,medium,213,3,no,no,no,sales,medium
excellent,tres bien,low,106,6,yes,no,no,sales,medium
bien,excellent,medium,272,2,no,no,no,sales,medium
assez bien,assez bien,medium,153,2,no,no,no,sales,medium
tres bien,excellent,medium,172,3,no,no,no,sales,medium
tres bien,excellent,medium,224,2,no,no,no,sales,medium
bien,tres bien,low,230,3,yes,no,no,sales,medium
bien,excellent,medium,222,4,no,no,no,sales,medium
excellent,bien,low,270,3,no,no,no,sales,medium
tres bien,tres bien,medium,205,3,no,no,no,sales,medium
excellent,tres bien,medium,134,3,yes,no,no,sales,medium
passable,bien,medium,275,4,yes,no,no,sales,high
excellent,bien,medium,183,3,no,no,no,sales,low
bien,excellent,medium,143,4,no,no,no,sales,medium
bien,tres bien,medium,259,2,no,no,no,sales,medium
assez bien,excellent,medium,186,4,no,no,no,accounting,medium
excellent,bien,low,155,3,no,no,no,accounting,medium
bien,bien,low,266,3,no,no,no,accounting,low
tres bien,excellent,low,215,2,no,no,no,hr,low
tres bien,excellent,medium,179,3,no,no,no,hr,low
excellent,bien,low,217,3,no,no,no,hr,low
excellent,excellent,medium,235,3,no,no,no,hr,low
tres bien,excellent,low,164,2,no,no,no,technical,low
bien,bien,low,178,5,no,no,no,technical,low
bien,bien,medium,170,3,no,no,no,technical,low
tres bien,tres bien,medium,241,3,no,no,no,technical,low
tres bien,excellent,medium,222,2,no,no,no,technical,low
excellent,bien,low,233,3,no,no,no,technical,low
tres bien,bien,medium,243,3,no,no,no,technical,low
bien,bien,medium,175,2,no,no,no,technical,low
tres bien,bien,medium,266,3,no,no,no,technical,low
excellent,excellent,medium,201,2,no,no,no,technical,low
tres bien,bien,medium,259,4,no,no,no,technical,low
excellent,tres bien,medium,105,5,no,no,no,support,low
tres bien,excellent,medium,189,3,no,no,no,support,low
assez bien,excellent,medium,232,2,no,no,no,support,low
assez bien,excellent,medium,258,6,no,no,no,support,low
bien,bien,medium,173,3,no,no,no,support,low
bien,excellent,medium,147,3,no,no,no,support,medium
tres bien,assez bien,low,256,6,no,no,no,support,medium
excellent,tres bien,low,206,4,no,no,no,support,medium
tres bien,bien,medium,175,3,no,no,no,support,medium
tres bien,bien,medium,274,2,yes,no,no,support,medium
tres bien,tres bien,low,229,3,no,no,no,support,medium
excellent,excellent,medium,161,3,no,no,no,technical,medium
tres bien,excellent,low,188,2,no,no,no,technical,medium
bien,bien,low,205,3,no,no,no,technical,medium
excellent,tres bien,low,246,3,no,no,no,management,medium
assez bien,excellent,medium,161,5,no,no,no,IT,medium
tres bien,excellent,medium,246,3,no,no,no,IT,medium
tres bien,excellent,medium,158,3,no,no,no,IT,high
tres bien,excellent,low,175,3,no,no,no,IT,low
tres bien,excellent,medium,268,3,yes,no,no,IT,medium
excellent,tres bien,medium,211,2,no,no,no,product_mng,medium
bien,bien,low,274,2,no,no,no,product_mng,medium
tres bien,bien,medium,241,3,no,no,no,product_mng,medium
tres bien,tres bien,low,170,2,no,no,no,product_mng,low
bien,bien,low,287,5,no,no,no,IT,low
tres bien,assez bien,low,235,6,no,no,no,RandD,low
assez bien,assez bien,low,98,3,yes,no,no,RandD,low
tres bien,tres bien,high,105,5,yes,no,no,RandD,low
bien,excellent,low,226,3,no,no,no,RandD,low
tres bien,bien,medium,171,4,no,no,no,RandD,low
tres bien,bien,medium,153,4,no,no,no,RandD,low
bien,bien,low,183,4,no,no,no,marketing,low
tres bien,excellent,medium,139,3,no,no,no,sales,low
excellent,excellent,medium,210,3,no,no,no,accounting,low
tres bien,tres bien,low,177,4,no,no,no,support,low
tres bien,tres bien,low,148,2,no,no,no,technical,low
excellent,tres bien,medium,198,2,no,no,no,management,low
excellent,excellent,low,137,4,yes,no,no,marketing,low
bien,excellent,medium,233,3,yes,no,no,marketing,low
excellent,tres bien,low,204,4,no,no,no,marketing,low
assez bien,bien,low,164,2,no,no,no,sales,low
tres bien,bien,medium,162,2,no,no,no,sales,low
tres bien,tres bien,low,180,2,yes,no,no,sales,low
tres bien,excellent,low,199,2,no,no,no,sales,low
bien,tres bien,medium,190,2,no,no,no,sales,medium
excellent,excellent,medium,151,3,yes,no,no,sales,medium
bien,excellent,medium,162,3,no,no,no,sales,medium
excellent,tres bien,low,139,2,no,no,no,sales,medium
tres bien,excellent,low,231,3,yes,no,no,sales,medium
tres bien,excellent,medium,269,2,no,no,no,sales,medium
bien,excellent,medium,249,3,no,no,no,sales,medium
tres bien,tres bien,low,148,2,no,no,no,sales,medium
passable,tres bien,medium,233,5,no,no,no,sales,medium
excellent,excellent,medium,240,4,no,no,no,sales,medium
tres bien,tres bien,medium,229,2,yes,no,no,sales,medium
assez bien,tres bien,low,256,2,yes,no,no,sales,medium
assez bien,tres bien,low,188,2,no,no,no,sales,high
tres bien,bien,low,167,2,no,no,no,sales,low
assez bien,tres bien,medium,190,4,no,no,no,sales,medium
bien,tres bien,medium,168,3,no,no,no,accounting,medium
passable,tres bien,high,154,5,no,no,no,accounting,medium
tres bien,excellent,medium,135,3,no,no,no,accounting,medium
bien,excellent,medium,217,3,no,no,no,hr,low
excellent,excellent,low,253,2,no,no,no,hr,low
excellent,excellent,low,180,3,no,no,no,hr,low
tres bien,excellent,medium,225,2,no,no,no,hr,low
excellent,tres bien,medium,134,3,yes,no,no,technical,low
tres bien,tres bien,low,192,2,no,no,no,technical,low
tres bien,excellent,low,224,3,no,no,no,technical,low
excellent,excellent,low,260,5,no,no,no,technical,low
tres bien,tres bien,low,178,3,yes,no,no,technical,low
assez bien,excellent,medium,166,5,yes,no,no,technical,low
excellent,bien,medium,180,3,no,no,no,technical,low
bien,excellent,low,189,2,no,no,no,technical,low
excellent,tres bien,low,154,3,no,no,no,technical,low
tres bien,excellent,low,236,3,no,no,no,technical,low
bien,tres bien,medium,198,3,no,no,no,technical,low
tres bien,excellent,low,148,3,no,no,no,support,low
excellent,bien,medium,205,2,no,no,no,support,low
tres bien,bien,medium,133,3,no,no,no,support,low
tres bien,bien,medium,160,3,yes,no,no,support,low
excellent,excellent,medium,201,2,yes,no,no,support,low
tres bien,tres bien,medium,157,4,no,no,no,support,low
excellent,tres bien,low,260,2,no,no,no,support,medium
excellent,bien,medium,152,3,no,no,no,support,medium
tres bien,bien,medium,218,3,no,no,no,support,medium
excellent,bien,low,252,2,no,no,no,support,medium
bien,tres bien,medium,216,3,no,no,no,support,medium
tres bien,excellent,low,183,2,no,no,no,technical,medium
excellent,tres bien,medium,269,2,no,no,no,technical,medium
excellent,excellent,medium,132,4,no,no,no,technical,medium
tres bien,excellent,medium,170,4,no,no,no,management,medium
assez bien,excellent,medium,257,5,yes,no,no,IT,medium
excellent,tres bien,low,138,2,no,no,no,IT,medium
bien,bien,low,115,3,no,no,no,IT,medium
excellent,tres bien,low,165,2,no,no,no,IT,high
tres bien,excellent,low,214,3,no,no,no,IT,low
bien,tres bien,low,246,2,no,no,no,product_mng,medium
bien,tres bien,low,188,3,no,no,no,product_mng,medium
excellent,excellent,low,255,2,no,no,no,product_mng,medium
excellent,excellent,medium,190,2,no,no,no,product_mng,medium
excellent,excellent,medium,164,4,no,no,no,IT,low
bien,bien,low,165,3,no,no,no,RandD,low
bien,bien,low,141,3,no,no,no,RandD,low
bien,tres bien,low,154,2,no,no,no,RandD,low
excellent,excellent,low,165,2,no,no,no,RandD,low
tres bien,bien,medium,266,2,no,no,no,RandD,low
assez bien,excellent,high,235,6,no,no,no,RandD,low
tres bien,excellent,medium,159,2,no,no,no,marketing,low
excellent,excellent,low,218,3,no,no,no,sales,low
bien,excellent,low,149,4,no,no,no,accounting,low
excellent,excellent,medium,239,3,no,no,no,support,low
excellent,bien,medium,225,3,no,no,no,technical,low
tres bien,tres bien,high,247,3,no,no,no,management,low
tres bien,excellent,medium,183,2,no,no,no,marketing,low
tres bien,excellent,medium,214,2,no,no,no,marketing,low
tres bien,bien,medium,113,2,no,no,no,marketing,low
tres bien,tres bien,medium,244,2,no,no,no,sales,low
bien,tres bien,high,286,4,no,no,no,sales,low
bien,bien,low,139,2,no,no,no,sales,medium
excellent,excellent,medium,176,3,no,no,no,sales,medium
tres bien,tres bien,medium,136,3,no,no,no,sales,medium
excellent,tres bien,medium,222,2,no,no,no,sales,medium
excellent,tres bien,medium,269,4,no,no,no,sales,medium
bien,excellent,medium,183,2,no,no,no,sales,medium
bien,tres bien,low,206,3,no,no,no,sales,medium
bien,bien,low,158,3,no,no,no,sales,medium
excellent,excellent,medium,136,3,no,no,no,sales,medium
bien,tres bien,medium,182,2,no,no,no,sales,medium
tres bien,tres bien,medium,268,3,no,no,no,sales,medium
bien,tres bien,low,144,3,no,no,no,sales,medium
bien,bien,medium,286,4,no,no,no,sales,high
tres bien,assez bien,low,268,3,no,no,no,sales,low
excellent,excellent,low,255,3,no,no,no,sales,medium
passable,excellent,high,245,5,no,no,no,sales,medium
tres bien,bien,low,134,2,yes,no,no,sales,medium
bien,excellent,low,251,3,yes,no,no,accounting,medium
bien,tres bien,medium,165,2,no,no,no,accounting,low
bien,bien,low,223,2,yes,no,no,accounting,low
tres bien,tres bien,medium,225,4,no,no,no,hr,low
excellent,excellent,low,196,3,yes,no,no,hr,low
assez bien,bien,low,253,3,no,no,no,hr,low
tres bien,bien,medium,222,3,no,no,no,hr,low
excellent,excellent,medium,135,3,no,no,no,technical,low
excellent,tres bien,medium,217,2,no,no,no,technical,low
tres bien,excellent,medium,192,2,no,no,no,technical,low
bien,tres bien,low,172,3,no,no,no,technical,low
excellent,bien,medium,183,3,no,no,no,technical,low
excellent,tres bien,medium,186,2,no,no,no,technical,low
excellent,tres bien,medium,163,3,no,no,no,technical,low
bien,excellent,medium,262,3,no,no,no,technical,low
tres bien,tres bien,low,202,3,no,no,no,technical,low
excellent,excellent,medium,248,3,no,no,no,technical,low
excellent,bien,medium,214,2,no,no,no,technical,low
excellent,excellent,medium,260,4,no,no,no,support,low
excellent,excellent,medium,260,3,no,no,no,support,low
bien,bien,medium,251,2,no,no,no,support,low
assez bien,excellent,medium,179,5,no,no,no,support,low
excellent,tres bien,medium,178,2,yes,no,no,support,medium
passable,excellent,high,210,4,no,no,no,support,medium
excellent,excellent,low,273,4,no,no,no,support,medium
bien,bien,medium,166,2,no,no,no,support,medium
tres bien,excellent,medium,246,2,no,no,no,support,medium
bien,bien,medium,192,3,no,no,no,support,medium
tres bien,tres bien,low,274,3,no,no,no,support,medium
bien,bien,low,232,3,no,no,no,technical,medium
excellent,bien,low,158,4,no,no,no,technical,medium
excellent,excellent,medium,137,3,no,no,no,technical,medium
tres bien,excellent,low,209,2,no,no,no,management,medium
bien,tres bien,low,206,2,no,no,no,IT,medium
tres bien,bien,low,230,2,no,no,no,IT,high
excellent,tres bien,medium,239,3,no,no,no,IT,low
passable,bien,medium,159,6,no,no,no,IT,medium
tres bien,tres bien,medium,244,2,no,no,no,IT,medium
passable,bien,medium,259,5,no,no,no,product_mng,medium
excellent,excellent,medium,245,3,yes,no,no,product_mng,medium
bien,excellent,low,141,2,yes,no,no,product_mng,low
bien,excellent,medium,202,4,no,no,no,product_mng,low
bien,excellent,medium,143,3,yes,no,no,IT,low
tres bien,tres bien,medium,286,5,yes,no,no,RandD,low
excellent,excellent,medium,173,3,no,no,no,RandD,low
tres bien,tres bien,medium,195,3,no,no,no,RandD,low
excellent,bien,medium,167,4,no,no,no,RandD,low
assez bien,tres bien,medium,197,4,yes,no,no,RandD,low
tres bien,tres bien,low,255,5,no,no,no,RandD,low
tres bien,tres bien,low,274,3,no,no,no,marketing,low
bien,bien,low,192,2,no,no,no,sales,low
tres bien,tres bien,low,225,3,no,no,no,accounting,low
excellent,tres bien,low,209,2,yes,no,no,support,low
excellent,excellent,medium,222,3,no,no,no,technical,low
excellent,tres bien,medium,208,2,no,no,no,management,low
tres bien,tres bien,medium,162,5,no,no,no,marketing,low
bien,tres bien,low,135,2,no,no,no,marketing,low
bien,excellent,medium,200,3,no,no,no,marketing,low
bien,bien,medium,159,4,no,no,no,sales,low
excellent,excellent,medium,156,2,no,no,no,sales,low
bien,excellent,medium,169,3,yes,no,no,sales,low
tres bien,tres bien,medium,154,3,no,no,no,sales,medium
bien,bien,low,169,3,no,no,no,sales,medium
bien,excellent,low,233,3,yes,no,no,sales,medium
excellent,tres bien,low,218,2,yes,no,no,sales,medium
bien,excellent,medium,279,6,no,no,no,sales,medium
tres bien,tres bien,low,195,3,no,no,no,sales,medium
bien,tres bien,medium,223,3,no,no,no,sales,medium
tres bien,tres bien,low,275,4,yes,no,no,sales,medium
excellent,tres bien,low,234,3,yes,no,no,sales,medium
assez bien,tres bien,medium,113,6,no,no,no,sales,medium
tres bien,excellent,low,133,5,no,no,no,sales,medium
excellent,excellent,medium,158,4,no,no,no,sales,medium
tres bien,tres bien,medium,214,3,no,no,no,sales,high
excellent,tres bien,medium,272,4,no,no,no,sales,low
assez bien,bien,low,127,4,no,no,no,sales,medium
excellent,bien,medium,141,3,yes,no,no,sales,medium
tres bien,excellent,medium,263,3,yes,no,no,accounting,medium
excellent,excellent,medium,174,5,no,no,no,accounting,medium
excellent,tres bien,medium,246,2,yes,no,no,accounting,low
tres bien,excellent,low,201,2,no,no,no,hr,low
excellent,excellent,low,181,3,no,no,no,hr,low
excellent,excellent,low,238,2,no,no,no,hr,low
assez bien,bien,low,167,2,no,no,no,hr,low
excellent,tres bien,medium,224,2,no,no,no,technical,low
tres bien,tres bien,low,182,3,yes,no,no,technical,low
assez bien,bien,medium,189,2,no,no,no,technical,low
tres bien,tres bien,low,169,2,yes,no,no,technical,medium
assez bien,excellent,medium,287,5,no,no,no,technical,medium
tres bien,excellent,low,150,2,no,no,no,technical,medium
tres bien,excellent,medium,146,2,no,no,no,technical,medium
excellent,excellent,medium,162,4,no,no,no,technical,medium
excellent,bien,medium,158,5,no,no,no,technical,medium
excellent,bien,low,185,2,no,no,no,technical,medium
excellent,excellent,low,214,3,no,no,no,technical,medium
bien,excellent,medium,200,3,no,no,no,support,medium
tres bien,excellent,medium,219,2,no,no,no,support,medium
tres bien,excellent,low,218,3,no,no,no,support,medium
excellent,tres bien,medium,237,2,no,no,no,support,medium
assez bien,bien,low,105,3,no,no,no,support,medium
excellent,excellent,low,251,3,yes,no,no,support,medium
excellent,tres bien,low,227,2,no,no,no,support,medium
tres bien,excellent,low,158,2,no,no,no,support,medium
excellent,tres bien,medium,252,2,no,no,no,support,medium
bien,tres bien,medium,198,3,no,no,no,support,medium
tres bien,tres bien,low,192,3,no,no,no,support,medium
bien,assez bien,low,139,4,no,no,no,technical,medium
assez bien,bien,high,205,3,no,no,no,technical,medium
excellent,bien,low,224,3,no,no,no,technical,medium
bien,excellent,medium,267,4,no,no,no,management,medium
bien,excellent,medium,200,3,yes,no,no,IT,medium
assez bien,bien,low,97,6,no,no,no,IT,medium
tres bien,bien,high,253,3,no,no,no,IT,high
tres bien,tres bien,medium,191,2,no,no,no,IT,high
excellent,tres bien,medium,199,2,yes,no,no,IT,high
assez bien,bien,low,127,4,no,no,no,product_mng,high
tres bien,tres bien,low,187,2,no,no,no,product_mng,high
excellent,bien,medium,215,3,no,no,no,product_mng,high
assez bien,tres bien,medium,176,6,yes,no,no,product_mng,high
bien,bien,low,194,2,no,no,no,IT,high
assez bien,tres bien,low,216,3,no,no,no,RandD,high
bien,tres bien,medium,185,3,no,no,no,RandD,high
excellent,excellent,medium,140,3,no,no,no,RandD,high
tres bien,tres bien,low,260,4,no,no,no,RandD,high
excellent,excellent,medium,137,4,no,no,no,RandD,low
tres bien,excellent,medium,151,2,no,no,no,RandD,low
tres bien,bien,low,152,2,no,no,no,marketing,low
bien,tres bien,medium,166,2,no,no,no,sales,low
assez bien,excellent,low,261,2,no,no,no,accounting,low
tres bien,tres bien,low,235,3,no,no,no,support,low
tres bien,excellent,low,201,2,no,no,no,technical,low
tres bien,tres bien,high,250,5,yes,no,no,management,low
bien,tres bien,medium,146,2,no,no,no,marketing,low
tres bien,excellent,medium,195,3,no,no,no,marketing,low
excellent,bien,medium,259,3,no,no,no,marketing,low
bien,bien,medium,166,4,yes,no,no,sales,low
tres bien,excellent,medium,188,4,yes,no,no,sales,low
tres bien,bien,low,203,2,no,no,no,sales,low
tres bien,excellent,low,167,3,no,no,no,sales,low
bien,excellent,low,258,3,yes,no,no,sales,medium
bien,bien,low,126,3,no,no,no,sales,medium
bien,assez bien,high,246,4,no,no,no,sales,medium
bien,bien,low,205,3,no,no,no,sales,medium
excellent,tres bien,medium,201,3,yes,no,no,sales,medium
excellent,excellent,medium,197,3,no,no,no,sales,medium
excellent,tres bien,low,272,3,no,no,no,sales,medium
excellent,excellent,medium,206,2,no,no,no,sales,medium
excellent,tres bien,low,184,3,no,no,no,sales,medium
excellent,bien,low,199,2,no,no,no,sales,medium
bien,bien,medium,220,3,no,no,no,sales,medium
excellent,excellent,low,233,3,no,no,no,sales,medium
assez bien,tres bien,low,221,3,no,no,no,sales,high
excellent,tres bien,high,168,5,yes,no,no,sales,high
excellent,tres bien,low,251,3,no,no,no,sales,high
tres bien,bien,low,188,3,no,no,no,accounting,high
excellent,excellent,low,203,3,no,no,no,accounting,high
tres bien,tres bien,medium,168,2,yes,no,no,accounting,high
tres bien,excellent,low,227,2,yes,no,no,hr,high
excellent,tres bien,medium,159,2,no,no,no,hr,high
bien,tres bien,low,159,3,no,no,no,hr,low
bien,tres bien,medium,275,5,no,no,no,hr,low
excellent,bien,high,283,2,no,no,no,technical,low
excellent,bien,medium,169,3,no,no,no,technical,low
bien,excellent,low,227,4,yes,no,no,technical,low
bien,bien,low,147,4,no,no,no,technical,low
bien,excellent,low,227,2,no,no,no,technical,low
tres bien,tres bien,medium,166,3,no,no,no,technical,low
tres bien,excellent,medium,168,6,no,no,no,technical,medium
passable,bien,low,229,6,no,no,no,technical,medium
excellent,tres bien,low,134,3,no,no,no,technical,medium
excellent,excellent,low,196,3,no,no,no,technical,medium
tres bien,excellent,medium,181,3,no,no,no,technical,medium
tres bien,excellent,medium,177,3,yes,no,no,support,medium
excellent,tres bien,low,272,2,yes,no,no,support,medium
tres bien,bien,low,213,3,no,no,no,support,medium
assez bien,tres bien,high,220,3,no,no,no,support,medium
tres bien,bien,medium,274,2,no,no,no,support,medium
assez bien,bien,high,242,6,no,no,no,support,medium
tres bien,excellent,medium,182,3,no,no,no,support,medium
bien,tres bien,medium,172,4,no,no,no,support,medium
excellent,excellent,low,226,3,no,no,no,support,medium
tres bien,excellent,low,132,2,no,no,no,support,medium
assez bien,tres bien,high,121,3,no,no,no,support,medium
bien,tres bien,medium,207,2,no,no,no,technical,medium
tres bien,tres bien,low,141,3,no,no,no,technical,medium
tres bien,excellent,medium,189,3,no,no,no,technical,medium
excellent,bien,high,269,4,yes,no,no,management,medium
assez bien,bien,medium,200,4,no,no,no,IT,medium
excellent,tres bien,low,199,2,no,no,no,IT,medium
excellent,excellent,medium,213,3,no,no,no,IT,medium
tres bien,bien,high,105,4,no,no,no,IT,high
bien,excellent,medium,141,2,no,no,no,IT,low
passable,bien,low,255,3,yes,no,no,product_mng,medium
bien,tres bien,low,217,4,no,no,no,product_mng,medium
tres bien,excellent,high,165,5,no,no,no,product_mng,medium
tres bien,excellent,medium,220,2,no,no,no,product_mng,medium
tres bien,tres bien,medium,241,4,no,no,no,IT,medium
bien,excellent,medium,274,3,no,no,no,RandD,medium
tres bien,bien,medium,224,4,no,no,no,RandD,medium
tres bien,excellent,medium,240,5,no,no,no,RandD,medium
tres bien,tres bien,medium,210,3,no,no,no,RandD,medium
bien,excellent,low,215,2,no,no,no,RandD,medium
tres bien,bien,medium,254,2,no,no,no,marketing,low
bien,excellent,medium,150,4,yes,no,no,sales,low
tres bien,tres bien,medium,177,3,no,no,no,accounting,low
excellent,assez bien,medium,101,4,yes,no,no,support,low
tres bien,bien,low,183,2,no,no,no,technical,low
bien,tres bien,low,224,3,no,no,no,management,low
excellent,bien,low,263,3,no,no,no,marketing,low
excellent,bien,low,207,2,no,no,no,marketing,high
tres bien,tres bien,low,243,3,no,no,no,marketing,low
bien,bien,low,157,4,yes,no,no,sales,high
tres bien,tres bien,low,242,3,no,no,no,sales,high
tres bien,excellent,medium,265,2,no,no,no,sales,low
excellent,excellent,low,196,4,no,no,no,sales,low
tres bien,tres bien,medium,135,2,no,no,no,sales,high
excellent,tres bien,high,270,3,no,no,no,sales,low
excellent,excellent,medium,201,2,no,no,no,sales,medium
excellent,excellent,medium,225,4,no,no,no,sales,high
excellent,tres bien,medium,205,3,no,no,no,sales,medium
tres bien,bien,low,131,3,no,no,no,sales,medium
assez bien,assez bien,low,118,4,no,no,no,sales,medium
tres bien,tres bien,medium,187,3,no,no,no,sales,medium
bien,bien,low,275,2,no,no,no,sales,high
bien,excellent,medium,125,4,no,no,no,sales,medium
excellent,bien,medium,270,3,yes,no,no,sales,medium
tres bien,bien,low,123,2,no,no,no,sales,medium
tres bien,bien,low,281,3,no,no,no,sales,high
excellent,bien,low,223,2,no,no,no,sales,medium
excellent,excellent,low,268,2,no,no,no,sales,high
tres bien,tres bien,medium,174,3,no,no,no,accounting,low
excellent,excellent,low,162,3,yes,no,no,accounting,medium
bien,bien,low,192,3,no,no,no,accounting,medium
bien,bien,medium,178,3,no,no,no,hr,medium
bien,excellent,low,250,2,no,no,no,hr,medium
excellent,tres bien,low,262,4,no,no,no,hr,low
bien,bien,medium,194,3,yes,no,no,hr,low
tres bien,bien,low,146,3,no,no,no,technical,low
bien,bien,medium,245,2,no,no,no,technical,low
bien,bien,low,131,2,no,no,no,technical,low
bien,assez bien,low,108,4,no,no,no,technical,low
tres bien,tres bien,medium,206,3,no,no,no,technical,low
tres bien,bien,low,146,4,yes,no,no,technical,low
bien,bien,low,171,2,no,no,no,technical,low
tres bien,bien,medium,173,2,yes,no,no,technical,low
bien,bien,medium,240,3,no,no,no,technical,high
bien,tres bien,medium,199,2,no,no,no,technical,low
bien,tres bien,low,237,3,yes,no,no,technical,low
bien,excellent,low,258,4,no,no,no,support,low
tres bien,tres bien,medium,269,3,yes,no,no,support,low
tres bien,excellent,medium,245,4,no,no,no,support,high
excellent,bien,medium,164,3,no,no,no,support,low
bien,bien,medium,256,3,yes,no,no,support,low
excellent,tres bien,medium,213,3,no,no,no,support,low
excellent,tres bien,low,193,3,yes,no,no,support,high
tres bien,bien,low,179,2,no,no,no,support,low
assez bien,excellent,high,278,5,yes,no,no,support,medium
excellent,bien,low,256,2,no,no,no,support,high
passable,tres bien,medium,173,4,no,no,no,support,medium
excellent,tres bien,medium,179,3,no,no,no,technical,high
tres bien,assez bien,medium,145,5,no,no,no,technical,medium
bien,tres bien,low,168,4,no,no,no,technical,medium
excellent,excellent,medium,213,3,no,no,no,management,medium
tres bien,excellent,high,150,5,no,no,no,IT,medium
excellent,tres bien,low,262,3,no,no,no,IT,medium
bien,excellent,medium,149,4,yes,no,no,IT,medium
excellent,tres bien,medium,139,2,no,no,no,IT,medium
bien,excellent,low,272,2,no,no,no,IT,medium
excellent,tres bien,low,252,4,no,no,no,product_mng,high
excellent,bien,low,232,4,no,no,no,product_mng,low
excellent,bien,low,266,2,no,no,no,product_mng,medium
bien,tres bien,medium,264,3,no,no,no,product_mng,medium
excellent,excellent,medium,142,2,no,no,no,IT,medium
tres bien,tres bien,medium,208,4,no,no,no,RandD,medium
excellent,bien,medium,178,2,yes,no,no,RandD,medium
tres bien,excellent,medium,192,3,no,no,no,RandD,medium
tres bien,excellent,medium,242,2,no,no,no,RandD,medium
assez bien,bien,medium,277,5,no,no,no,RandD,medium
tres bien,excellent,low,173,2,yes,no,no,marketing,medium
assez bien,tres bien,medium,276,6,no,no,no,marketing,high
tres bien,tres bien,low,189,3,no,no,no,sales,low
excellent,bien,medium,139,2,no,no,no,accounting,low
tres bien,bien,medium,140,3,no,no,no,support,low
bien,tres bien,medium,191,3,yes,no,no,technical,high
tres bien,tres bien,medium,178,2,no,no,no,management,low
bien,tres bien,medium,184,3,no,no,no,marketing,low
excellent,bien,low,144,3,no,no,no,marketing,low
excellent,excellent,low,160,2,no,no,no,marketing,high
